table_name,column_name,data_type,is_nullable,column_default
address_types,id,integer,NO,
address_types,name,character varying,YES,
address_types,description,character varying,YES,
channel_closures,gossip_id,character varying,NO,
channel_closures,closing_txid,character varying,NO,
channel_closures,closing_height,integer,NO,
channel_closures,closing_timestamp,timestamp with time zone,NO,
channel_closures,type,USER-DEFINED,NO,
channel_closures,settled_balance_sat,bigint,NO,
channel_closures,mining_fee_sat,bigint,NO,
channel_closures,output_0_sat,bigint,YES,0
channel_closures,output_1_sat,bigint,YES,0
channel_closures,balance_node_1_sat,bigint,YES,
channel_closures,balance_node_2_sat,bigint,YES,
channel_updates,gossip_id,character varying,NO,
channel_updates,scid,bigint,YES,
channel_updates,direction,bit,YES,
channel_updates,valid_from,timestamp with time zone,NO,
channel_updates,valid_to,timestamp with time zone,YES,
channel_updates,signature,character varying,YES,
channel_updates,chain_hash,character varying,YES,
channel_updates,message_flags,integer,YES,
channel_updates,channel_flags,integer,YES,
channel_updates,cltv_expiry_delta,integer,YES,
channel_updates,htlc_minimum_msat,bigint,YES,
channel_updates,fee_base_msat,bigint,YES,
channel_updates,fee_proportional_millionths,bigint,YES,
channel_updates,htlc_maximum_msat,bigint,YES,
channel_updates,raw_gossip,bytea,YES,
channel_updates,is_fee_update,boolean,YES,
channel_updates,is_topology_update,boolean,YES,
channel_updates,internal_id,bigint,YES,
channels,gossip_id,character varying,NO,
channels,scid,bigint,YES,
channels,funding_timestamp,timestamp with time zone,YES,
channels,closing_timestamp,timestamp with time zone,YES,
channels,capacity_sat,bigint,YES,
channels,source_node_id,character varying,YES,
channels,target_node_id,character varying,YES,
channels,node_signature_1,character varying,YES,
channels,node_signature_2,character varying,YES,
channels,bitcoin_signature_1,character varying,YES,
channels,bitcoin_signature_2,character varying,YES,
channels,features,bytea,YES,
channels,chain_hash,character varying,YES,
channels,bitcoin_key_1,character varying,YES,
channels,bitcoin_key_2,character varying,YES,
channels,raw_gossip,bytea,YES,
channels,internal_id,bigint,YES,
collectors,node_id,character varying,NO,
collectors,alias,character varying,YES,
collectors,first_collection_at,timestamp with time zone,YES,now()
collectors,last_collection_at,timestamp with time zone,YES,
collectors,total_messages_collected,bigint,YES,0
collectors,notes,text,YES,
gossip_inventory,gossip_id,character varying,NO,
gossip_inventory,type,integer,NO,
gossip_inventory,first_seen_at,timestamp with time zone,YES,now()
gossip_inventory,internal_id,bigint,NO,nextval('gossip_inventory_internal_id_seq'::regclass)
gossip_observations,internal_id,bigint,NO,
gossip_observations,gossip_id,character varying,NO,
gossip_observations,collector_node_id,character varying,NO,
gossip_observations,seen_at,timestamp with time zone,YES,
gossip_observations,sender_timestamp,timestamp with time zone,YES,
gossip_observations_old,gossip_id,character varying,NO,
gossip_observations_old,collector_node_id,character varying,NO,
gossip_observations_old,seen_at,timestamp with time zone,NO,
gossip_observations_old,sender_timestamp,timestamp with time zone,YES,
node_addresses,id,bigint,NO,nextval('node_addresses_id_seq'::regclass)
node_addresses,gossip_id,character varying,YES,
node_addresses,type_id,integer,YES,
node_addresses,address,character varying,YES,
node_addresses,port,integer,YES,
node_announcements,gossip_id,character varying,NO,
node_announcements,node_id,character varying,YES,
node_announcements,valid_from,timestamp with time zone,NO,
node_announcements,valid_to,timestamp with time zone,YES,
node_announcements,signature,character varying,YES,
node_announcements,features,bytea,YES,
node_announcements,rgb_color,character varying,YES,
node_announcements,alias,character varying,YES,
node_announcements,raw_gossip,bytea,YES,
node_announcements,is_data_update,boolean,YES,
node_announcements,internal_id,bigint,YES,
nodes,node_id,character varying,NO,
nodes,first_seen,timestamp with time zone,YES,
nodes,last_seen,timestamp with time zone,YES,
observed_peers,node_id,character varying,NO,
observed_peers,first_connected_at,timestamp with time zone,YES,now()
observed_peers,last_connected_at,timestamp with time zone,YES,
observed_peers,notes,text,YES,
peer_addresses,id,bigint,NO,nextval('peer_addresses_id_seq'::regclass)
peer_addresses,session_id,bigint,YES,
peer_addresses,type_id,integer,YES,
peer_addresses,address,character varying,YES,
peer_addresses,port,integer,YES,
peer_sessions,id,bigint,NO,nextval('peer_sessions_id_seq'::regclass)
peer_sessions,collector_node_id,character varying,YES,
peer_sessions,peer_node_id,character varying,YES,
peer_sessions,features,text,YES,
peer_sessions,connected_at,timestamp with time zone,NO,
peer_sessions,disconnected_at,timestamp with time zone,YES,
peer_sessions,termination_reason,text,YES,
